Date_YMD,Daily Confirmed
30-01-2020,1
31-01-2020,0
01-02-2020,0
02-02-2020,1
03-02-2020,1
04-02-2020,0
05-02-2020,0
06-02-2020,0
07-02-2020,0
08-02-2020,0
09-02-2020,0
10-02-2020,0
11-02-2020,0
12-02-2020,0
13-02-2020,0
14-02-2020,0
15-02-2020,0
16-02-2020,0
17-02-2020,0
18-02-2020,0
19-02-2020,0
20-02-2020,0
21-02-2020,0
22-02-2020,0
23-02-2020,0
24-02-2020,0
25-02-2020,0
26-02-2020,0
27-02-2020,0
28-02-2020,0
29-02-2020,0
01-03-2020,0
02-03-2020,2
03-03-2020,1
04-03-2020,22
05-03-2020,2
06-03-2020,1
07-03-2020,3
08-03-2020,5
09-03-2020,9
10-03-2020,15
11-03-2020,8
12-03-2020,10
13-03-2020,10
14-03-2020,11
15-03-2020,10
16-03-2020,14
17-03-2020,20
18-03-2020,25
19-03-2020,27
20-03-2020,58
21-03-2020,78
22-03-2020,69
23-03-2020,94
24-03-2020,74
25-03-2020,86
26-03-2020,73
27-03-2020,153
28-03-2020,136
29-03-2020,120
30-03-2020,187
31-03-2020,309
01-04-2020,424
02-04-2020,486
03-04-2020,560
04-04-2020,579
05-04-2020,609
06-04-2020,484
07-04-2020,573
08-04-2020,565
09-04-2020,813
10-04-2020,871
11-04-2020,854
12-04-2020,758
13-04-2020,1243
14-04-2020,1031
15-04-2020,886
16-04-2020,1061
17-04-2020,922
18-04-2020,1371
19-04-2020,1580
20-04-2020,1239
21-04-2020,1537
22-04-2020,1292
23-04-2020,1667
24-04-2020,1408
25-04-2020,1835
26-04-2020,1607
27-04-2020,1568
28-04-2020,1902
29-04-2020,1705
30-04-2020,1801
01-05-2020,2396
02-05-2020,2564
03-05-2020,2952
04-05-2020,3656
05-05-2020,2971
06-05-2020,3602
07-05-2020,3344
08-05-2020,3339
09-05-2020,3175
10-05-2020,4311
11-05-2020,3592
12-05-2020,3562
13-05-2020,3726
14-05-2020,3991
15-05-2020,3808
16-05-2020,4794
17-05-2020,5049
18-05-2020,4628
19-05-2020,6154
20-05-2020,5720
21-05-2020,6023
22-05-2020,6536
23-05-2020,6667
24-05-2020,7111
25-05-2020,6414
26-05-2020,5907
27-05-2020,7246
28-05-2020,7254
29-05-2020,8138
30-05-2020,8364
31-05-2020,8789
01-06-2020,7723
02-06-2020,8812
03-06-2020,9689
04-06-2020,9847
05-06-2020,9472
06-06-2020,10408
07-06-2020,10882
08-06-2020,8536
09-06-2020,9981
10-06-2020,11156
11-06-2020,11135
12-06-2020,11306
13-06-2020,12039
14-06-2020,11405
15-06-2020,10032
16-06-2020,11086
17-06-2020,13108
18-06-2020,13829
19-06-2020,14740
20-06-2020,15918
21-06-2020,15151
22-06-2020,13560
23-06-2020,15656
24-06-2020,16868
25-06-2020,18205
26-06-2020,18255
27-06-2020,20142
28-06-2020,19610
29-06-2020,18339
30-06-2020,18256
01-07-2020,19429
02-07-2020,21947
03-07-2020,22718
04-07-2020,24018
05-07-2020,23942
06-07-2020,22500
07-07-2020,23147
08-07-2020,25561
09-07-2020,25790
10-07-2020,27762
11-07-2020,27757
12-07-2020,29106
13-07-2020,28178
14-07-2020,29917
15-07-2020,32607
16-07-2020,35468
17-07-2020,34820
18-07-2020,37411
19-07-2020,40235
20-07-2020,36806
21-07-2020,39170
22-07-2020,45601
23-07-2020,48443
24-07-2020,48888
25-07-2020,50072
26-07-2020,48932
27-07-2020,46484
28-07-2020,49631
29-07-2020,52479
30-07-2020,54968
31-07-2020,57486
01-08-2020,55117
02-08-2020,52672
03-08-2020,50488
04-08-2020,51282
05-08-2020,56626
06-08-2020,62170
07-08-2020,61455
08-08-2020,65156
09-08-2020,62117
10-08-2020,53016
11-08-2020,61252
12-08-2020,67066
13-08-2020,64141
14-08-2020,65610
15-08-2020,63986
16-08-2020,58096
17-08-2020,54298
18-08-2020,65024
19-08-2020,69196
20-08-2020,68518
21-08-2020,69029
22-08-2020,70067
23-08-2020,61749
24-08-2020,59696
25-08-2020,66873
26-08-2020,75995
27-08-2020,76827
28-08-2020,76657
29-08-2020,78479
30-08-2020,79461
31-08-2020,68766
01-09-2020,78168
02-09-2020,82860
03-09-2020,84156
04-09-2020,87115
05-09-2020,90600
06-09-2020,91725
07-09-2020,75015
08-09-2020,89855
09-09-2020,95536
10-09-2020,96762
11-09-2020,97655
12-09-2020,94414
13-09-2020,93220
14-09-2020,81913
15-09-2020,91098
16-09-2020,97860
17-09-2020,96787
18-09-2020,92973
19-09-2020,92574
20-09-2020,87395
21-09-2020,74493
22-09-2020,83362
23-09-2020,86703
24-09-2020,85921
25-09-2020,85717
26-09-2020,88759
27-09-2020,82770
28-09-2020,69669
29-09-2020,80500
30-09-2020,86748
01-10-2020,81784
02-10-2020,79883
03-10-2020,75479
04-10-2020,74770
05-10-2020,60130
06-10-2020,71869
07-10-2020,78809
08-10-2020,70797
09-10-2020,73305
10-10-2020,74418
11-10-2020,67789
12-10-2020,54262
13-10-2020,63717
14-10-2020,67811
15-10-2020,63441
16-10-2020,62304
17-10-2020,61893
18-10-2020,56519
19-10-2020,45506
20-10-2020,54348
21-10-2020,56264
22-10-2020,54371
23-10-2020,53931
24-10-2020,50366
25-10-2020,45922
26-10-2020,36019
27-10-2020,43036
28-10-2020,50188
29-10-2020,48765
30-10-2020,48117
31-10-2020,47228
01-11-2020,45928
02-11-2020,37592
03-11-2020,46027
04-11-2020,50465
05-11-2020,47628
06-11-2020,50017
07-11-2020,46153
08-11-2020,46707
09-11-2020,37119
10-11-2020,44724
11-11-2020,48285
12-11-2020,44585
13-11-2020,44620
14-11-2020,41692
15-11-2020,30681
16-11-2020,28609
17-11-2020,38548
18-11-2020,45366
19-11-2020,46185
20-11-2020,46283
21-11-2020,45301
22-11-2020,44404
23-11-2020,37441
24-11-2020,44245
25-11-2020,44699
26-11-2020,43174
27-11-2020,41353
28-11-2020,41815
29-11-2020,39036
30-11-2020,31179
01-12-2020,36474
02-12-2020,35506
03-12-2020,36574
04-12-2020,36711
05-12-2020,36010
06-12-2020,33178
07-12-2020,26227
08-12-2020,32083
09-12-2020,31637
10-12-2020,29411
11-12-2020,29961
12-12-2020,30354
13-12-2020,27336
14-12-2020,21941
15-12-2020,26251
16-12-2020,18172
17-12-2020,26754
18-12-2020,26991
19-12-2020,26834
20-12-2020,24622
21-12-2020,19147
22-12-2020,23880
23-12-2020,24716
24-12-2020,23444
25-12-2020,22349
26-12-2020,18575
27-12-2020,20333
28-12-2020,16072
29-12-2020,20542
30-12-2020,21945
31-12-2020,19026
01-01-2021,20159
02-01-2021,18144
03-01-2021,16678
04-01-2021,16278
05-01-2021,17909
06-01-2021,20472
07-01-2021,18123
08-01-2021,18453
09-01-2021,18820
10-01-2021,16086
11-01-2021,12481
12-01-2021,15903
13-01-2021,17015
14-01-2021,15677
15-01-2021,15155
16-01-2021,15050
17-01-2021,13962
18-01-2021,9987
19-01-2021,13787
20-01-2021,15279
21-01-2021,14495
22-01-2021,14323
23-01-2021,14896
24-01-2021,13232
25-01-2021,9098
26-01-2021,12733
27-01-2021,11556
28-01-2021,18912
29-01-2021,13054
30-01-2021,13073
31-01-2021,11527
01-02-2021,8579
02-02-2021,11001
03-02-2021,12925
04-02-2021,12401
05-02-2021,11711
06-02-2021,12069
07-02-2021,11786
08-02-2021,8715
09-02-2021,10731
10-02-2021,12539
11-02-2021,9353
12-02-2021,12137
13-02-2021,12198
14-02-2021,11706
15-02-2021,9086
16-02-2021,11592
17-02-2021,12862
18-02-2021,13237
19-02-2021,13916
20-02-2021,13919
21-02-2021,14278
22-02-2021,10494
23-02-2021,13682
24-02-2021,16930
25-02-2021,16599
26-02-2021,16562
27-02-2021,16805
28-02-2021,15614
01-03-2021,12270
02-03-2021,14998
03-03-2021,17425
04-03-2021,16824
05-03-2021,18324
06-03-2021,18724
07-03-2021,18650
08-03-2021,15353
09-03-2021,17873
10-03-2021,22851
11-03-2021,23298
12-03-2021,24845
13-03-2021,25154
14-03-2021,26513
15-03-2021,24437
16-03-2021,28869
17-03-2021,35838
18-03-2021,39687
19-03-2021,40906
20-03-2021,43815
21-03-2021,47009
22-03-2021,40636
23-03-2021,47239
24-03-2021,53419
25-03-2021,59083
26-03-2021,62276
27-03-2021,62632
28-03-2021,68206
29-03-2021,56152
30-03-2021,53237
31-03-2021,72113
01-04-2021,81398
02-04-2021,89023
03-04-2021,92994
04-04-2021,103794
05-04-2021,96563
06-04-2021,115312
07-04-2021,126276
08-04-2021,131878
09-04-2021,144945
10-04-2021,152565
11-04-2021,169914
12-04-2021,160838
13-04-2021,185297
14-04-2021,199584
15-04-2021,216828
16-04-2021,234002
17-04-2021,260895
18-04-2021,275063
19-04-2021,257003
20-04-2021,294365
21-04-2021,315752
22-04-2021,332531
23-04-2021,345296
24-04-2021,348996
25-04-2021,354658
26-04-2021,319471
27-04-2021,362913
28-04-2021,379404
29-04-2021,386773
30-04-2021,402014
01-05-2021,392576
02-05-2021,370090
03-05-2021,355769
04-05-2021,382847
05-05-2021,412624
06-05-2021,414280
07-05-2021,406901
08-05-2021,403808
09-05-2021,366455
10-05-2021,329491
11-05-2021,348555
12-05-2021,362632
13-05-2021,343005
14-05-2021,326256
15-05-2021,310757
16-05-2021,281837
17-05-2021,263021
18-05-2021,267246
19-05-2021,276187
20-05-2021,259242
21-05-2021,257299
22-05-2021,240897
23-05-2021,222834
24-05-2021,195857
25-05-2021,208992
26-05-2021,211510
27-05-2021,186075
28-05-2021,174083
29-05-2021,165282
30-05-2021,153396
31-05-2021,126883
01-06-2021,133152
02-06-2021,134044
03-06-2021,132424
04-06-2021,120454
05-06-2021,114488
06-06-2021,101209
07-06-2021,85804
08-06-2021,92787
09-06-2021,93883
10-06-2021,91849
11-06-2021,84574
12-06-2021,80525
13-06-2021,71001
14-06-2021,60008
15-06-2021,62215
16-06-2021,67289
17-06-2021,62436
18-06-2021,60765
19-06-2021,58615
20-06-2021,52978
21-06-2021,42683
22-06-2021,50817
23-06-2021,54309
24-06-2021,51659
25-06-2021,48768
26-06-2021,49844
27-06-2021,46523
28-06-2021,37070
29-06-2021,46104
30-06-2021,48606
01-07-2021,46781
02-07-2021,44187
03-07-2021,43027
04-07-2021,40150
05-07-2021,34026
06-07-2021,43964
07-07-2021,45701
08-07-2021,43504
09-07-2021,42660
10-07-2021,41494
11-07-2021,37654
12-07-2021,30818
13-07-2021,40314
14-07-2021,41759
15-07-2021,39071
16-07-2021,38117
17-07-2021,41283
18-07-2021,38330
19-07-2021,29420
20-07-2021,42128
21-07-2021,41687
22-07-2021,34863
23-07-2021,39501
24-07-2021,40286
25-07-2021,38179
26-07-2021,30820
27-07-2021,42971
28-07-2021,43165
29-07-2021,44671
30-07-2021,41499
31-07-2021,41943
01-08-2021,40629
02-08-2021,30085
03-08-2021,42530
04-08-2021,42797
05-08-2021,45005
06-08-2021,38705
07-08-2021,39068
08-08-2021,36036
09-08-2021,27428
10-08-2021,38376
11-08-2021,41586
12-08-2021,40081
13-08-2021,38761
14-08-2021,36135
15-08-2021,33245
16-08-2021,24696
17-08-2021,35208
18-08-2021,36502
19-08-2021,36600
20-08-2021,34308
21-08-2021,31023
22-08-2021,25420
23-08-2021,24794
24-08-2021,37739
25-08-2021,46129
26-08-2021,44550
27-08-2021,46806
28-08-2021,45064
29-08-2021,43374
30-08-2021,30248
31-08-2021,43073
01-09-2021,45975
02-09-2021,45624
03-09-2021,42667
04-09-2021,42607
05-09-2021,39537
06-09-2021,30164
07-09-2021,38135
08-09-2021,43401
09-09-2021,24151
10-09-2021,37875
11-09-2021,31288
12-09-2021,31441
13-09-2021,24414
14-09-2021,27502
15-09-2021,30355
16-09-2021,34653
17-09-2021,35354
18-09-2021,31130
19-09-2021,30828
20-09-2021,24907
21-09-2021,27338
22-09-2021,32010
23-09-2021,31411
24-09-2021,29565
25-09-2021,28169
26-09-2021,26999
27-09-2021,14907
28-09-2021,21898
29-09-2021,23166
30-09-2021,27285
01-10-2021,23918
02-10-2021,23189
03-10-2021,21644
04-10-2021,17101
05-10-2021,19044
06-10-2021,22605
07-10-2021,21474
08-10-2021,19868
09-10-2021,17941
10-10-2021,19020
11-10-2021,13184
12-10-2021,16023
13-10-2021,19193
14-10-2021,16988
15-10-2021,16003
16-10-2021,14078
17-10-2021,14286
18-10-2021,12339
19-10-2021,14935
20-10-2021,18382
21-10-2021,15774
22-10-2021,16327
23-10-2021,16079
24-10-2021,14654
25-10-2021,11852
26-10-2021,13499
27-10-2021,16351
28-10-2021,14307
29-10-2021,14215
30-10-2021,12940
31-10-2021,12907
